"","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146"
"19",56.339996,57.599998,54.719997,53.819996,52.199997,54.539997,52.379997,51.48,51.839996,53.819996,52.199997,51.299999,52.559998,52.559998,53.459999,52.559998,51.299999,52.739998,52.379997,50.759998,51.119999,50.579998,52.739998,50.039997,51.299999,52.199997,50.579998,50.939999,52.919998,52.199997,53.999996,53.999996,51.839996,55.079998,56.159996,57.419998,61.739998,66.779999,70.559998,72,75.959999,75.959999,77.039993,79.559998,81,80.459999,83.879997,80.099998,83.159996,82.979996,85.679993,83.159996,83.519997,83.879997,84.239998,84.959999,86.219994,84.959999,84.959999,86.579994,82.979996,82.619995,84.599998,86.939995,86.759995,83.879997,82.259995,82.079994,82.079994,83.519997,81.18,77.759995,78.839996,73.979996,75.419998,74.339996,71.639999,72,71.639999,73.799995,75.779999,77.759995,77.939995,77.939995,79.559998,78.479996,78.119995,77.039993,75.359993,77.399994,78.299995,77.939995,79.379997,79.559998,80.639999,80.459999,80.099998,82.619995,84.599998,87.839996,88.739998,88.919998,88.559998,90.179993,90.359993,89.099998,86.939995,85.5,86.579994,86.759995,88.739998,88.379997,86.759995,86.399994,87.659996,87.119995,85.5,82.799995,85.859993,82.619995,84.959999,83.879997,82.439995,82.979996,84.779999,82.079994,79.199997,78.119995,75.059998,73.799995,70.559998,66.959999,66.419998,64.619995,62.819996,60.299999,58.679996,57.599998,58.499996,56.879997,55.619999,55.619999,53.639999,52.019997,55.5230744405594
"20",50.939999,50.759998,49.499996,48.239998,48.419998,48.599998,47.519997,48.059998,47.16,47.519997,45.899998,47.699997,47.339996,48.419998,47.339996,46.619999,46.799999,45.539997,47.16,45.179996,46.079998,46.619999,46.079998,46.619999,45.359997,45.899998,45.899998,46.259998,45.719997,46.799999,47.879997,47.699997,47.879997,48.779999,49.679996,51.48,55.979996,59.759998,62.819996,64.979996,68.219994,70.379997,71.82,72.360001,75.959999,75.419998,75.419998,75.419998,78.479996,81.18,80.459999,81.899994,79.739998,79.559998,78.479996,79.379997,75.959999,77.039993,73.799995,74.339996,71.459999,71.099998,72,70.019997,68.579994,68.039993,66.599998,68.759995,66.779999,65.519997,64.799995,64.439995,62.279999,57.059998,55.979996,51.299999,52.199997,49.32,48.779999,48.239998,48.239998,47.519997,49.679996,48.239998,48.959999,50.579998,51.48,49.859997,50.039997,47.879997,49.499996,50.039997,50.039997,50.219997,50.579998,50.579998,50.219997,51.839996,52.559998,55.619999,57.239998,58.679996,58.319996,59.399998,59.399998,58.499996,58.499996,56.879997,57.959999,58.499996,59.039997,56.879997,58.499996,59.039997,59.039997,57.059998,56.159996,56.159996,54.899998,55.439999,57.599998,56.879997,56.879997,56.339996,55.799999,54.719997,53.639999,52.019997,49.32,48.779999,47.699997,46.079998,43.919998,43.919998,41.759998,41.759998,41.219997,39.599998,39.599998,37.98,37.439999,36.359997,35.279999,35.279999,40.618320055944
"21",34.199997,33.119999,33.119999,33.119999,31.499998,30.959999,31.499998,32.039997,30.959999,30.959999,30.419998,28.799999,28.799999,28.799999,28.799999,28.799999,28.799999,28.799999,28.799999,28.259998,28.799999,28.259998,26.639999,27.179998,26.639999,28.799999,28.799999,28.799999,28.799999,28.799999,28.799999,28.799999,28.799999,29.879999,30.959999,30.959999,30.959999,30.959999,32.579998,34.199997,35.279999,35.279999,36.899998,39.599998,39.599998,40.139999,41.219997,42.299999,42.299999,43.919998,48.419998,46.799999,46.259998,46.079998,46.079998,46.079998,47.699997,47.699997,47.519997,47.519997,45.719997,43.019997,44.639999,43.739998,44.82,43.199997,41.039997,41.039997,40.5,40.5,40.5,40.5,37.259998,38.879997,37.799999,37.259998,35.099998,36.18,34.559998,38.34,38.879997,38.879997,37.799999,38.34,40.5,39.959999,38.879997,40.5,41.039997,42.66,42.66,40.859997,41.939999,41.939999,41.759998,43.199997,43.739998,43.199997,43.739998,46.98,48.059998,49.499996,51.119999,52.739998,53.279999,54.899998,54.179996,52.919998,53.999996,54.539997,55.619999,54.539997,55.619999,56.699997,56.159996,56.159996,54.539997,52.919998,52.739998,53.279999,52.199997,51.119999,51.119999,51.119999,51.119999,50.039997,51.119999,51.119999,50.039997,47.879997,46.799999,47.879997,45.719997,43.559998,41.399998,40.32,40.32,39.779999,38.16,37.619999,36,36,36,34.919998,37.9183200909091
"22",33.84,32.759998,32.219997,31.679998,31.679998,30.059999,30.059999,29.519999,29.519999,29.519999,28.439999,27.359999,27.9,27.359999,27.359999,27.359999,27.359999,27.359999,27.359999,27.359999,27.359999,27.359999,27.359999,27.359999,27.359999,27.359999,27.359999,27.359999,27.359999,27.359999,27.359999,27.359999,27.359999,27.359999,27.359999,28.98,29.519999,29.519999,29.519999,30.599998,29.519999,31.679998,31.679998,33.84,33.84,33.84,35.459999,34.919998,34.919998,36,36,37.619999,38.16,38.16,38.699997,38.699997,39.239998,39.599998,40.679996,41.759998,42.299999,41.759998,40.139999,41.219997,41.759998,40.679996,40.679996,40.679996,40.139999,41.939999,42.48,43.019997,44.639999,43.019997,40.859997,37.079998,34.739998,32.939999,34.919998,35.459999,37.079998,37.619999,36.539997,36,36,36,36.539997,37.079998,38.16,37.799999,38.34,37.799999,36.719997,37.799999,38.34,36.719997,37.259998,38.879997,38.879997,41.579998,44.279999,45.899998,47.519997,48.059998,48.599998,49.679996,48.599998,48.599998,49.139999,49.139999,50.219997,49.679996,49.679996,50.939999,50.399998,50.939999,50.399998,50.039997,49.679996,51.299999,50.579998,50.399998,50.399998,49.32,49.859997,48.239998,48.239998,48.239998,48.239998,47.16,46.079998,44.999996,44.459999,42.839996,44.639999,43.019997,41.939999,40.32,38.699997,37.619999,36,35.459999,33.84,32.219997,38.3362222727273
"23",31.679998,31.679998,31.139999,29.519999,29.519999,30.599998,30.059999,29.519999,29.519999,29.519999,29.519999,29.519999,28.98,27.359999,27.359999,27.359999,27.359999,27.359999,27.359999,27.359999,27.359999,27.359999,27.359999,27.359999,27.359999,27.359999,27.359999,27.359999,27.359999,27.359999,28.439999,27.359999,27.359999,28.439999,27.359999,29.519999,29.519999,30.599998,31.679998,31.679998,33.299999,34.379997,35.459999,38.16,38.879997,41.399998,41.759998,44.459999,44.82,44.279999,44.459999,43.379997,44.099998,44.099998,43.739998,44.279999,44.099998,42.119999,41.219997,39.959999,38.34,37.619999,37.259998,36.18,36.18,36,36,34.919998,35.459999,35.459999,34.379997,34.379997,34.919998,32.759998,33.84,33.299999,31.679998,32.219997,32.219997,33.299999,34.379997,34.919998,34.919998,36,36.539997,38.16,37.079998,37.079998,36.899998,36.359997,36,36,37.439999,36,36,36.539997,37.079998,38.699997,39.239998,42.48,46.259998,47.339996,49.499996,51.119999,50.579998,50.039997,51.119999,51.119999,52.199997,51.659996,52.199997,52.199997,53.279999,53.279999,52.739998,52.739998,52.739998,53.279999,53.279999,52.739998,52.739998,51.119999,51.119999,52.739998,51.659996,51.119999,49.499996,48.959999,48.419998,46.799999,46.799999,46.259998,44.639999,44.639999,43.019997,40.859997,40.859997,39.599998,37.439999,37.439999,37.439999,37.439999,37.439999,35.82,39.7724456153846
"24",35.279999,34.739998,34.199997,33.119999,33.119999,31.499998,30.959999,30.959999,29.519999,28.079998,28.079998,28.079998,28.079998,28.079998,28.079998,28.079998,27.539999,28.079998,25.919998,28.079998,28.079998,27.539999,26.459999,26.459999,26.999998,27.539999,28.079998,28.079998,28.079998,28.079998,28.079998,28.079998,28.079998,28.619999,29.699999,30.239998,30.239998,31.859999,32.399998,32.399998,34.019997,35.639999,37.259998,38.879997,38.879997,41.039997,41.039997,39.419998,39.419998,38.34,38.879997,39.959999,40.5,39.419998,41.039997,41.039997,41.039997,41.579998,41.039997,40.5,41.039997,42.48,41.219997,39.599998,37.98,39.599998,39.599998,39.059998,39.599998,39.059998,38.519997,38.519997,39.599998,37.98,36.899998,35.279999,35.279999,35.279999,37.439999,38.519997,37.98,36.359997,36.359997,37.98,37.439999,39.059998,39.599998,40.859997,40.32,40.859997,41.939999,41.399998,42.48,42.48,44.099998,45.179996,44.639999,46.259998,49.32,50.219997,51.299999,52.199997,53.819996,53.819996,52.739998,53.639999,54.719997,54.719997,55.259998,54.719997,54.719997,54.719997,55.259998,56.339996,56.339996,54.719997,55.799999,54.719997,54.719997,53.099998,52.019997,52.019997,52.559998,50.399998,49.859997,48.779999,48.239998,48.239998,47.699997,46.079998,46.079998,44.459999,43.919998,43.919998,42.839996,40.139999,41.219997,39.599998,39.599998,38.519997,37.439999,37.439999,37.439999,35.82,37.4060124475524
"25",35.279999,35.279999,33.66,33.119999,33.119999,33.119999,30.959999,30.959999,30.419998,28.799999,28.799999,28.799999,28.799999,28.259998,27.719999,28.799999,28.259998,26.639999,26.639999,26.639999,26.639999,26.639999,26.639999,26.639999,26.639999,26.639999,26.639999,26.639999,26.639999,26.639999,26.639999,26.639999,26.639999,27.719999,28.799999,28.799999,28.799999,30.419998,30.959999,30.959999,30.959999,30.959999,33.119999,33.119999,33.119999,34.739998,35.279999,35.279999,35.82,36.899998,35.82,35.279999,36.359997,38.519997,40.679996,39.779999,40.859997,42.48,42.48,41.399998,41.399998,40.859997,40.859997,42.48,42.48,43.559998,45.179996,43.559998,44.099998,45.179996,45.899998,47.519997,44.279999,42.119999,39.959999,38.34,36.719997,35.099998,34.559998,34.559998,34.559998,34.559998,34.559998,34.559998,35.82,34.739998,35.82,35.82,36.359997,36.899998,36.899998,37.439999,38.34,37.079998,36,37.619999,37.079998,39.779999,40.32,40.32,42.48,42.48,43.199997,44.82,44.279999,45.359997,45.359997,46.439999,45.359997,45.899998,45.359997,45.899998,45.899998,47.519997,47.519997,48.059998,48.059998,47.519997,48.059998,48.599998,47.519997,47.519997,48.599998,48.059998,47.519997,46.98,45.359997,45.359997,45.359997,44.82,43.739998,42.66,42.66,42.119999,41.039997,41.039997,38.879997,38.879997,38.34,36.719997,36.719997,35.639999,34.559998,32.939999,38.764194041958
"26",32.399998,32.399998,30.779999,30.239998,30.239998,29.159998,28.079998,28.079998,28.079998,28.079998,28.079998,28.079998,25.919998,25.919998,28.079998,25.919998,25.919998,25.919998,25.919998,25.919998,25.919998,25.919998,25.919998,25.919998,25.919998,25.919998,25.919998,25.919998,25.919998,25.919998,26.999998,28.079998,28.079998,28.079998,28.079998,28.079998,28.079998,28.619999,29.159998,30.239998,30.239998,30.239998,30.779999,32.399998,32.399998,33.48,33.48,34.559998,34.019997,34.019997,35.639999,36.18,36.719997,36.719997,37.619999,37.439999,39.059998,40.139999,41.759998,41.759998,43.919998,44.459999,44.999996,43.919998,44.999996,46.439999,46.98,46.619999,47.699997,48.239998,49.679996,49.139999,49.679996,48.059998,44.82,43.199997,43.199997,41.039997,41.039997,39.959999,39.959999,42.66,42.66,42.66,42.66,43.199997,42.66,41.579998,41.039997,39.959999,41.039997,39.419998,39.599998,39.059998,39.059998,37.619999,39.239998,40.32,43.199997,44.82,45.359997,47.519997,48.599998,49.139999,49.859997,50.399998,50.399998,50.939999,50.939999,49.859997,51.119999,51.839996,52.379997,53.459999,50.759998,51.299999,51.299999,50.759998,50.759998,51.299999,49.859997,48.959999,48.779999,49.679996,48.959999,45.719997,45.719997,46.799999,46.259998,44.639999,44.639999,43.559998,42.48,42.48,40.859997,39.779999,40.32,38.699997,38.16,36,36,36,34.919998,33.299999,37.8289495104895
"27",31.679998,31.679998,31.679998,31.679998,30.059999,31.679998,31.679998,30.059999,29.519999,29.519999,29.519999,29.519999,28.98,27.359999,27.359999,27.359999,27.359999,27.359999,27.359999,27.359999,27.359999,27.359999,27.359999,27.359999,27.359999,27.359999,27.359999,27.359999,27.359999,27.359999,27.359999,27.9,28.439999,27.359999,27.9,29.519999,29.519999,30.059999,31.679998,31.679998,31.679998,33.299999,36,36,36,36.539997,37.079998,36,37.079998,38.16,38.699997,38.16,39.239998,38.16,37.619999,38.699997,38.34,38.34,38.34,37.799999,35.099998,32.399998,31.859999,36.719997,36.719997,36,34.379997,34.919998,34.379997,31.679998,34.019997,35.099998,31.859999,31.319998,31.319998,30.779999,30.239998,31.859999,32.399998,32.399998,32.939999,30.779999,30.779999,32.939999,34.019997,34.019997,34.019997,36.719997,38.519997,39.059998,39.059998,38.34,39.779999,38.16,39.239998,40.32,41.399998,41.039997,41.759998,41.759998,44.459999,47.699997,50.399998,52.559998,52.559998,52.559998,53.639999,53.639999,53.459999,52.919998,53.639999,55.079998,57.239998,56.699997,56.159996,56.159996,55.619999,55.619999,56.159996,53.999996,54.539997,53.999996,52.739998,51.659996,51.119999,49.499996,48.959999,48.419998,47.339996,46.799999,46.259998,44.639999,44.639999,43.019997,42.48,40.32,40.32,39.239998,38.16,38.16,36.539997,36,36,34.919998,37.9686697272727
"28",33.299999,32.219997,31.679998,31.679998,30.599998,29.519999,30.059999,30.599998,31.679998,29.519999,29.519999,29.519999,27.9,27.9,27.9,28.439999,27.359999,29.519999,27.359999,27.359999,27.359999,27.359999,27.359999,27.359999,27.359999,27.359999,27.359999,27.359999,27.359999,27.359999,28.98,29.519999,27.9,29.519999,29.519999,29.519999,30.599998,31.679998,31.679998,32.219997,32.759998,33.84,33.84,33.84,36.539997,36,37.079998,36.539997,36.539997,36,37.619999,38.16,37.619999,38.16,38.699997,40.32,36.539997,30.059999,30.599998,34.919998,34.919998,36.539997,36.539997,35.459999,36.719997,37.799999,38.879997,38.879997,38.34,37.079998,39.599998,37.439999,36.359997,35.279999,35.82,35.279999,33.66,31.499998,30.419998,31.499998,34.199997,35.279999,34.739998,36.899998,36.899998,35.82,36.359997,36.539997,36.18,35.279999,37.439999,36.899998,35.279999,37.439999,39.059998,39.059998,39.599998,41.219997,43.379997,43.919998,44.82,48.599998,51.299999,51.299999,51.299999,51.839996,53.459999,53.999996,54.539997,53.999996,53.999996,55.079998,55.619999,56.159996,56.159996,55.079998,55.079998,53.999996,53.459999,51.839996,52.919998,51.839996,51.839996,51.119999,49.499996,48.959999,50.579998,49.499996,47.339996,45.719997,46.799999,44.639999,43.559998,42.48,40.32,40.32,39.239998,38.16,37.619999,36,36,35.459999,33.84,33.84,37.1794390559441
